ra,dec,elon,elat,glon,glat,ls_id,ref_id,targetid,ra_ivar,dec_ivar,dchisq_psf,dchisq_rex,dchisq_dev,dchisq_exp,dchisq_ser,ebv,flux_g,flux_r,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_z,fracflux_g,fracflux_r,fracflux_z,fracmasked_g,fracmasked_r,fracmasked_z,fracin_g,fracin_r,fracin_z,psfdepth_g,psfdepth_r,psfdepth_z,galdepth_g,galdepth_r,galdepth_z,flux_w1,flux_w2,flux_w3,flux_w4,flux_ivar_w1,flux_ivar_w2,flux_ivar_w3,flux_ivar_w4,mw_transmission_w1,mw_transmission_w2,mw_transmission_w3,mw_transmission_w4,fiberflux_g,fiberflux_r,fiberflux_z,fibertotflux_g,fibertotflux_r,fibertotflux_z,ref_epoch,shape_r,shape_e1,shape_e2,shape_r_ivar,shape_e1_ivar,shape_e2_ivar,sersic,sersic_ivar,gaia_phot_g_mean_mag,gaia_phot_g_mean_flux_over_error,gaia_phot_bp_mean_mag,gaia_phot_bp_mean_flux_over_error,gaia_phot_rp_mean_mag,gaia_phot_rp_mean_flux_over_error,gaia_phot_bp_rp_excess_factor,gaia_astrometric_sigma5d_max,parallax,parallax_ivar,pmra,pmra_ivar,pmdec,pmdec_ivar,random_id,brickid,htm9,ring256,nest4096,brick_objid,release,nobs_g,nobs_r,nobs_z,allmask_g,allmask_r,allmask_z,wisemask_w1,wisemask_w2,maskbits,gaia_astrometric_params_solved,gaia_duplicated_source,brickname,morphtype,ref_cat,dist_arcsec,known_status
202.7818146,32.1849673,186.4923443,38.24752883,65.71260795,80.01109123,9.90663E+15,1.46866E+18,2.78169E+15,8.50E+13,1.80E+14,61780.586,61785.08,61812.32,61811.574,0,0.011471999,7.398474,10.349392,10.858801,529.3112,236.75775,63.204334,0.96661067,0.97738403,0.987286,8.74E-06,3.57E-05,0.000177693,0.006690491,0.006706527,0.0228226,0.6657951,0.90637606,0.60416,1194.8552,469.60043,67.8005,678.1502,260.18338,41.6701,4.8191586,4.255295,-13.947075,549.66925,4.1990924,0.9670087,0.001162245,1.48E-05,0.9980577,0.9988067,0.99974537,0.99990386,5.7565913,8.052635,8.448996,5.7565913,8.052635,8.448996,2015.5,0,0,0,0,0,0,0,0,20.03901,230.5916,20.153765,16.7234,19.599663,27.17399,1.2981387,0.6862125,0.0962636,3.1493878,-4.347175,1.7630187,-1.3458668,5.393368,3.8805768,507501,3612052,183361,42743595,895,9010,2,3,3,0,0,0,0,0,0,31,f,2028p322,PSF,G2,4.99E-08,Known
58.54292811,-16.88100252,51.74812698,-36.23640345,209.0553371,-46.66754318,9.90662E+15,5.10785E+18,3.96274E+16,1.38E+15,2.62E+15,6.85E+06,0,0,0,0,0.034977186,106.20647,116.443825,88.17162,229.06186,239.44858,131.04404,0.90164036,0.9326308,0.9617386,1.18E-06,1.03E-06,-1.77E-07,0.000564615,0.00055779,0.024432957,0.99999994,0.99999994,0.99999994,3421.2478,2921.7312,292.24063,2174.8276,1640.0165,151.15297,58.79814,83.327065,241.50781,677.21045,2.460437,0.61216843,0.001138801,1.18E-05,0.99408996,0.9963663,0.9992239,0.99970686,64.245705,70.438416,53.33618,64.245705,70.438416,53.33618,2015.5,0,0,0,0,0,0,0,0,17.39316,109.711555,17.341608,34.657284,17.034702,30.129728,1.3614888,0.17453721,3.097657,62.53103,-6.1810327,35.32745,-101.535515,57.778893,25.874275,234044,2251027,507558,148657882,814,9010,8,8,10,0,0,0,0,0,0,31,f,0586m170,PSF,G2,1.06E-07,Known
60.90983852,-10.82930622,56.17814855,-30.91658098,202.6759682,-42.06811153,9.90662E+15,3.1906E+18,3.96275E+16,2.41E+14,5.61E+14,576447.25,576591.3,576601.5,576596.06,0,0.07346999,26.388481,25.380571,20.947952,398.9766,324.0191,204.901,0.8045388,0.863724,0.92132133,0,0,0,0.002499611,0.003554434,0.00315704,0.99870896,0.9981882,0.99853176,2498.0408,1034.772,310.22064,1420.7753,624.2829,138.12926,10.735247,7.323329,-34.55786,249.18242,3.3001256,0.8137044,0.000904816,1.15E-05,0.9876262,0.99238265,0.9983705,0.9993844,18.758406,18.041927,14.890974,18.758419,18.04195,14.891009,2015.5,0,0,0,0,0,0,0,0,18.711065,221.50331,18.637526,43.65526,18.448298,40.560616,1.3272201,0.46534067,3.047433,10.717935,58.47203,5.028124,-19.838985,11.265525,65.76193,269013,2257607,466605,92858764,2982,9010,4,6,6,0,0,0,0,0,0,31,f,0608m107,PSF,G2,1.70E-07,Known
30.21772651,-9.408803548,24.61195805,-20.33391341,168.9685609,-65.86318873,9.90662E+15,2.4626E+18,3.96276E+16,1.66E+15,2.08E+15,9.59E+06,0,0,0,0,0.024708359,219.75177,150.9461,85.41723,110.613396,162.23875,114.686134,0.92946905,0.9519246,0.97281724,7.85E-07,7.39E-05,2.96E-05,8.89E-05,0.011124941,0.0912861,1,0.87542635,0.8889729,3611.9033,2285.0024,265.51617,2121.5818,1285.2654,145.04173,17.240116,10.836897,-9.629853,764.92365,2.9644911,0.6762752,0.00092537,1.21E-05,0.9958214,0.99743176,0.9994517,0.99979293,169.53766,116.45435,65.89907,169.53766,116.45435,65.89907,2015.5,0,0,0,0,0,0,0,0,16.863888,263.7195,16.663313,52.764458,17.014439,39.630608,1.2527909,0.17946728,0.5961164,85.64834,17.486498,26.136168,-3.0748887,40.71413,13.87132,275985,2145930,457302,71670985,3171,9010,7,7,8,0,0,0,0,0,2048,31,f,0302m095,PSF,G2,2.04E-07,Known
318.0387296,-8.827068504,317.7588754,7.008977988,41.59275418,-35.21550144,9.90662E+15,6.89677E+18,3.96276E+16,1.19E+15,2.42E+15,8.29E+06,0,0,0,0,0.13417652,177.66618,135.48822,259.7025,124.98041,68.10289,45.823082,0.6722064,0.7652496,0.86100346,9.87E-10,1.80E-08,6.60E-08,0.000507379,0.17113173,0.0007524,0.99995565,0.99995404,0.9999438,3252.067,1066.8597,202.04231,2056.174,621.8308,110.659195,180.21077,139.00429,57.45032,-244.21605,1.2454602,0.405336,0.000706239,1.01E-05,0.97751766,0.9861324,0.99702615,0.99887604,127.10956,96.93375,185.80167,127.10956,96.93375,185.80167,2015.5,0,0,0,0,0,0,0,0,16.864985,40.69804,16.964226,14.258009,16.44496,12.363303,1.2963694,0.1906641,7.235679,53.836754,41.53972,25.255795,-43.264153,52.987278,56.118202,281392,3099004,454025,200722348,212,9010,4,4,5,0,0,0,0,0,0,31,f,3181m087,PSF,G2,1.59E-07,Known
59.44653442,-6.64757816,55.64744542,-26.5164371,196.8332877,-41.32422452,9.90662E+15,3.24489E+18,3.96276E+16,1.04E+14,1.41E+14,300066.75,300066.94,300069.75,300069.88,0,0.09536966,14.366454,17.607262,21.52391,601.57007,316.8724,167.69145,0.7540372,0.82681787,0.8990895,7.69E-06,6.03E-05,1.30E-05,0.004314808,0.008185218,0.009873903,0.99947435,0.99908096,0.9993485,2182.5676,808.94684,222.1358,1287.3613,485.52975,117.50097,12.922451,9.837144,-57.92469,-299.66275,3.0264895,0.7386231,0.001055315,1.26E-05,0.9839676,0.99012333,0.99788535,0.999201,10.838907,13.283965,16.238916,10.838907,13.283965,16.238916,2015.5,0,0,0,0,0,0,0,0,19.629389,53.837765,19.633842,20.974724,18.998169,16.870989,1.4920963,0.65937495,2.5018592,4.5809627,-1.9824647,2.031426,-35.717266,3.2415667,4.4956036,291792,2260711,438953,94438617,2186,9010,4,4,6,0,0,0,0,0,0,31,f,0594m067,PSF,G2,1.60E-07,Known
163.0636057,-6.723999817,167.0273358,-12.85617082,258.1455557,45.53109722,9.90662E+15,3.76448E+18,3.96276E+16,1.53E+14,2.53E+14,257362.94,257420.12,257425.89,257422.31,0,0.02594549,14.530321,16.17839,26.792,607.9029,210.01819,103.175186,0.9260714,0.94957924,0.97147584,3.46E-05,5.96E-05,0.000165975,0.003156856,0.21264638,0.00735044,0.9987362,0.9986869,0.99809563,1934.5767,571.23145,152.8915,1225.2026,296.33453,78.60097,11.977399,8.793679,1.5314863,267.3443,3.0351295,0.6605935,0.000714876,9.27E-06,0.9956127,0.9973033,0.9994243,0.99978256,11.308252,12.590867,20.850931,11.308252,12.590867,20.850931,2015.5,0,0,0,0,0,0,0,0,19.087252,32.696396,18.991583,4.4958415,18.567715,9.397399,1.4881554,0.49074948,0.17044663,9.133357,-5.8225985,3.3266454,-0.5397793,5.1756053,16.280464,292204,2550073,439248,109560731,3711,9010,4,4,4,0,0,0,0,0,0,31,f,1630m067,PSF,G2,1.66E-07,Known
312.0744225,-6.179197211,312.7821239,11.23236287,41.15967711,-28.74743367,9.90662E+15,6.91316E+18,3.96276E+16,8.24E+13,1.62E+14,138864.84,138876.47,138877.31,138877.16,0,0.06354965,12.68033,12.262532,13.412651,540.1327,236.23537,91.739815,0.82851535,0.8809799,0.93157226,4.46E-06,7.12E-06,9.44E-05,0.006738383,0.005521155,0.00630093,0.9965531,0.9971788,0.9965924,1623.2058,587.5746,116.065384,1032.7029,335.20187,63.295933,12.751722,9.145132,18.47344,-432.437,2.8273973,0.6771282,0.000660378,8.63E-06,0.98928803,0.9934078,0.9985904,0.9994675,9.729176,9.408614,10.29106,9.729176,9.408614,10.29106,2015.5,0,0,0,0,0,0,0,0,19.7768,72.46754,19.766756,17.12654,19.33439,10.682971,1.3802941,0.79594636,1.78001,5.0157223,11.92574,1.5205766,-22.631212,2.3236308,87.143364,295661,3100198,435576,201199496,3354,9010,3,3,3,0,0,0,0,0,0,31,f,3121m062,PSF,G2,2.65E-08,Known
189.556597,-3.659341588,190.2185947,0.420986681,296.5133712,59.04765945,9.90662E+15,3.68131E+18,3.96277E+16,5.92E+14,5.71E+14,2.36E+06,0,0,0,0,0.030955281,93.415375,78.092514,86.97978,132.62479,94.95166,82.82323,0.9124391,0.9401404,0.9660626,0,0,0,0.001461009,0.001569887,0.003154638,0.999426,0.9994226,0.99874735,2057.2327,766.06836,167.94713,1188.5297,407.11295,97.060555,40.17684,30.32269,62.90182,-81.17104,2.2182212,0.54633945,0.000638952,8.58E-06,0.9947677,0.99678344,0.9993131,0.9997406,40.74004,34.05748,37.93337,40.74004,34.05748,37.93337,2015.5,0,0,0,0,0,0,0,0,17.718233,153.40218,17.705719,41.08714,17.553732,48.116863,1.2373803,0.41887134,5.909401,41.56054,-145.42047,6.048882,-42.84017,12.685445,78.62708,309531,2635772,418843,107140310,983,9010,4,4,4,0,0,0,0,0,0,31,f,1896m037,PSF,G2,1.82E-07,Known
177.1162906,-3.430201343,178.7200526,-4.293821792,274.0673147,55.87187749,9.90662E+15,0,3.96277E+16,2.79E+11,2.71E+11,11165.991,11191.752,11204.409,11196.494,0,0.023259716,1.6447182,2.7557104,3.55083,1516.5741,698.8571,139.9681,0.93346345,0.95467836,0.9743904,0.018842204,0.053515866,0.08648248,0.006085207,0.00881904,0.01291255,0.9980048,0.9971416,0.9958005,2004.1384,812.537,146.24792,1197.5728,539.8674,84.71897,5.095304,5.027446,-76.66726,-515.4193,2.8505764,0.5989682,0.000766453,1.04E-05,0.9960659,0.99758214,0.9994838,0.9998051,1.2787839,2.1425908,2.7608037,1.2794611,2.1460881,2.7827284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77.27845,310919,2494216,416760,104788122,3094,9010,4,5,4,0,0,0,0,0,0,0,f,1771m035,PSF,,2.72E-08,Known
